Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR,Team,Pos
Tyler Rogers,70.0,6.4,2.1,1.0,.303,70.6%,4.04,4.02,0.1,SFG,RP
Camilo Doval,64.0,10.8,3.9,0.7,.300,75.1%,3.19,3.21,0.7,SFG,RP
Taylor Rogers,62.0,9.8,3.3,1.0,.295,74.4%,3.58,3.64,0.3,SFG,RP
Erik Miller,67.0,11.2,4.4,0.8,.290,76.8%,3.22,3.44,0.4,SFG,RP
Sean Hjelle,56.0,7.7,2.3,0.8,.307,72.2%,3.62,3.59,0.2,SFG,RP
Randy Rodríguez,53.0,9.1,4.1,1.1,.289,73.3%,4.01,4.19,0.0,SFG,RP
Spencer Bivens,50.0,6.9,2.9,1.0,.299,71.5%,4.12,4.21,0.0,SFG,RP
Tristan Beck,46.0,7.9,2.4,1.2,.293,72.2%,3.98,4.02,0.0,SFG,RP
Austin Warren,42.0,7.4,3.1,1.1,.299,71.5%,4.21,4.25,-0.1,SFG,RP
Trevor McDonald,40.0,7.1,2.9,0.9,.302,71.3%,4.01,4.08,0.0,SFG,RP
Mason Black,38.0,8.0,3.0,1.2,.293,71.3%,4.30,4.32,0.0,SFG,RP
Landen Roupp,30.0,8.6,3.6,1.0,.297,72.8%,3.89,3.94,0.0,SFG,RP
Carson Ragsdale,28.0,9.3,3.2,1.1,.291,73.5%,3.76,3.80,0.0,SFG,RP
Carson Seymour,26.0,7.8,2.6,0.9,.301,72.5%,3.67,3.72,0.0,SFG,RP
Ethan Small,24.0,8.2,3.5,1.1,.289,73.6%,3.95,4.19,0.0,SFG,RP
Trent Harris,22.0,8.1,3.4,1.1,.295,72.4%,4.07,4.13,0.0,SFG,RP
William Kempner,21.0,8.0,3.8,1.1,.296,71.5%,4.40,4.45,0.0,SFG,RP
Hayden Birdsong,17.0,9.5,4.0,1.1,.293,72.9%,4.07,4.11,0.0,SFG,RP
Cole Waites,15.0,8.9,4.1,1.1,.295,72.8%,4.14,4.21,0.0,SFG,RP
Carson Whisenhunt,13.0,8.6,3.4,1.1,.292,73.1%,3.95,4.08,0.0,SFG,RP
Total,532.0,8.7,3.2,1.0,.297,73.1%,3.77,3.83,2.6,SFG,RP
